"x1"	"x3"	"x4"	"x6"	"x7"	"x8"	"x9"	"x10"	"x11"	"x12"	"x13"	"x14"	"x16"	"x18"	"x21"	"x22"	"x23"	"x24"	"Y"
14,4	0,65	0,032	25,76	31,23	0,26	1,68	33,76	52,6	0,45	16,04	7,17	805	1271	0,124	26,81034483	2	3	1555
12,23	0,59	0,033	14,36	34,21	0,48	3,18	34,62	48,1	0,55	16,85	6,74	289	1145	0,161	28,54901961	2	3	1456
18,55	0,58	0,032	26,7	34,49	0,51	1,34	32,38	47,69	0,1	15,75	6,92	262	741	0,203	29,57575758	2	8	976
11,5	0,58	0,04	10,89	21,79	0,09	3,84	27,71	56,31	0,18	16,88	5,94	386	935	0,145	31,27777778	1	8	1126
13,3	0,53	0,038	9,44	23,72	10,06	1,8	46,04	55,16	0,15	17,8	4,49	131	569	0,155	22,3	1	6	669
10,96	0,45	0,037	14,8	32,9	1	2,1	34	52,3	0,43	17	5,67	386	933	0,194	32,19444444	1	1	1159
13,07	0,44	0,035	9,4	31,8	1,8	1,1	36,9	58,5	0,44	17,09	5,79	774	1275	0,113	30,28846154	1	3	1575
16,4	0,45	0,034	14,7	27,7	0,86	1,34	34,55	52,25	0,47	16,98	6,4	438	1237	0,143	24,44776119	1	1	1638
16,64	0,43	0,033	16,13	15,65	1,17	0,25	31,37	52,57	0,41	16,74	6,73	359	941	0,17	32,64864865	3	3	1208
16,47	0,42	0,035	12,7	18,63	0,64	1,42	26,32	47,35	0,49	16,64	6,4	624	1714	0,154	30,44776119	3	1	2040
11,86	0,44	0,036	9,67	15,31	1,23	1,27	22,58	46,92	0,45	16,79	5,83	560	1914	0,146	25,69767442	3	1	2210
13,65	0,45	0,035	13,41	16,52	1,79	0,6	27,3	54,75	0,45	17,08	6,4	187	486	0,148	23,24137931	1	6	674
21,7	0,41	0,038	4,3	16,93	2,12	2,81	26,55	50,6	0,46	17,6	5,92	485	1417	0,182	22,21518987	1	3	1755
15,52	0,43	0,036	12,39	27,16	0,12	2,45	19,64	54,75	0,72	16,98	7,07	1001	1496	0,198	32,84313725	1	4	1675
11	0,51	0,038	12,2	25,3	0,43	4,9	16,24	49,68	0,21	16,74	6,46	1033	1582	0,155	24,31168831	2	4	1872
14,7	0,56	0,037	12,6	34,4	0,14	5,3	17,3	49	0,7	16,93	5,6	723	1908	0,184	22,96774194	2	5	2136
16,26	0,62	0,039	12,2	25,24	0,31	8,54	23,3	44,86	0,66	17,15	5,94	449	1555	0,128	23,57831325	2	3	1957
13,48	0,65	0,034	10,72	27,9	0	2,85	15,79	38	0,43	16,78	6	480	1403	0,153	27,38235294	2	3	1862
15,09	0,66	0,038	12,1	15,4	0,74	9,94	19,2	40,3	0,17	16,55	5,25	672	1679	0,231	28,6625	1	3	2293
13,02	0,7	0,039	7,33	18,44	1,56	12,8	18,29	41,75	0,6	16,91	5,49	347	1377	0,173	26,12987013	1	1	2012
20,6	0,7	0,041	6,82	18,8	0,82	19,8	15,9	42,72	0,12	16,9	5,22	660	1141	0,157	21,63291139	3	1	1709
19,24	0,71	0,038	11,54	11,49	0,3	12,9	19,44	43,2	0,6	16,65	4,8	330	1294	0,166	25,32911392	3	3	2001
19,56	0,71	0,038	13,9	11,86	0,7	11,73	24,11	42,1	0,79	16,84	5,15	535	1005	0,124	31,53623188	3	4	2176
25,02	0,66	0,041	10,7	37	0,65	16,31	17,56	44	0,44	17,19	5,84	786	1302	0,12	25,90140845	1	4	1839
25	0,63	0,041	17,04	53,53	1,3	9,66	16,37	43,87	0,62	17,62	4,62	852	1283	0,158	13,78947368	1	4	1572
31,4	0,38	0,044	6,89	47,73	35,54	21	9,49	46,89	0,13	19,06	4,51	482	1081	0,143	15,08421053	2	1	1433
